"Source:","/home/miguel/Dropbox/Ham/Kenwood/TM-V7/mods/DisplayMod/MyPCB/tmv7displaymod/tmv7displaymod.kicad_sch"
"Date:","Wed 02 Aug 2023 10:07:17 PM WEST"
"Tool:","Eeschema 7.0.5-1.fc38"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","C1","0.33u","Device:C","Capacitor_THT:C_Disc_D7.5mm_W5.0mm_P5.00mm","~",""
"2","2","C2, C3","100n","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~",""
"3","1","J1","DC IN +8 ... 15 V","Connector_Generic:Conn_01x02","Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","~",""
"4","1","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_Molex:Molex_KK-254_AE-6410-10A_1x10_P2.54mm_Vertical","~",""
"5","1","J3","Kenwood CAT Connector","Connector_Generic:Conn_01x06","Connector_Molex:Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical","~",""
"6","1","R1","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~",""
"7","1","RV1","10k","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~",""
"8","1","U1","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf",""
"9","1","U4","ATmega8-16P","MCU_Microchip_ATmega:ATmega8-16P","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2486-8-bit-avr-microcontroller-atmega8_l_datasheet.pdf",""
